,buying,maint,doors,persons,lug_boot,safety,result
1305,1,3,0,1,2,1,0
98,3,3,3,1,0,0,0
1654,1,1,1,0,0,2,0
814,0,1,2,0,1,2,0
523,0,3,3,1,2,2,0
327,3,1,0,0,1,1,0
195,3,0,3,0,0,1,0
148,3,0,1,1,1,2,0
527,0,3,3,1,1,0,0
154,3,0,1,2,2,2,0
45,3,3,1,2,2,1,0
571,0,0,1,0,1,2,0
467,0,3,1,0,0,0,0
1708,1,1,3,0,0,2,0
599,0,0,2,0,1,0,0
947,2,3,3,0,2,0,0
842,0,1,3,0,1,0,0
1605,1,2,3,1,1,1,0
302,3,2,3,0,1,0,0
732,0,2,3,0,1,1,0
1030,2,0,2,0,1,2,0
506,0,3,2,2,2,0,0
766,0,1,0,1,2,2,0
131,3,0,0,2,1,0,0
1203,2,1,0,1,0,1,0
793,0,1,1,1,2,2,0
829,0,1,2,2,2,2,0
337,3,1,0,1,1,2,0
493,0,3,2,0,0,2,0
668,0,2,0,2,2,0,0
474,0,3,1,1,0,1,0
843,0,1,3,0,0,1,0
532,0,3,3,2,2,2,0
1465,1,0,2,0,0,2,0
1490,1,0,3,0,1,0,0
142,3,0,1,0,0,2,0
67,3,3,2,1,1,2,0
757,0,1,0,0,2,2,0
1098,2,2,0,2,2,1,0
972,2,0,0,0,2,1,0
1007,2,0,1,0,0,0,0
1566,1,2,2,0,2,1,0
309,3,2,3,1,1,1,0
249,3,2,1,0,0,1,0
251,3,2,1,0,0,0,0
685,0,2,1,1,2,2,0
169,3,0,2,0,0,2,0
696,0,2,1,2,1,1,0
1432,1,0,1,0,2,2,0
604,0,0,2,1,2,2,0
1625,1,1,0,0,1,0,0
44,3,3,1,1,0,0,0
949,2,3,3,0,1,2,0
520,0,3,3,0,0,2,0
1531,1,2,0,2,2,2,0
1028,2,0,2,0,2,0,0
166,3,0,2,0,1,2,0
903,2,3,1,1,1,1,0
450,0,3,0,2,2,1,0
896,2,3,1,0,1,0,0
1632,1,1,0,1,1,1,0
514,0,3,3,0,2,2,0
667,0,2,0,2,2,2,0
534,0,3,3,2,1,1,0
507,0,3,2,2,1,1,0
201,3,0,3,1,1,1,0
1369,1,3,2,2,2,2,0
448,0,3,0,1,0,2,0
858,0,1,3,2,1,1,0
23,3,3,0,2,1,0,0
1413,1,0,0,1,2,1,0
33,3,3,1,0,0,1,0
1095,2,2,0,1,0,1,0
1208,2,1,0,2,2,0,0
684,0,2,1,1,2,1,0
489,0,3,2,0,1,1,0
212,3,0,3,2,1,0,0
206,3,0,3,1,0,0,0
933,2,3,2,1,0,1,0
452,0,3,0,2,2,0,0
1317,1,3,0,2,1,1,0
1653,1,1,1,0,0,1,0
191,3,0,3,0,2,0,0
1065,2,0,3,1,1,1,0
893,2,3,1,0,2,0,0
39,3,3,1,1,1,1,0
877,2,3,0,1,1,2,0
34,3,3,1,0,0,2,0
462,0,3,1,0,1,1,0
1320,1,3,0,2,0,1,0
87,3,3,3,0,0,1,0
1518,1,2,0,0,0,1,0
928,2,3,2,1,2,2,0
42,3,3,1,1,0,1,0
1710,1,1,3,1,2,1,0
622,0,0,3,0,2,2,0
1640,1,1,0,2,2,0,0
1509,1,0,3,2,0,1,0
180,3,0,2,2,2,1,0
1027,2,0,2,0,2,2,0
812,0,1,2,0,2,0,0
183,3,0,2,2,1,1,0
1626,1,1,0,0,0,1,0
326,3,1,0,0,2,0,0
1329,1,3,1,0,0,1,0
434,0,3,0,0,2,0,0
